method,value,name,dir
stack1D,0.25925925925925924,Interstate 16,Westbound
stack1D,0.08571428571428572,Interstate 72,Eastbound
stack1D,0.42857142857142855,Interstate 72,Westbound
stack1D,0.11594202898550725,Interstate 79,Southbound
stack1D,0.2898550724637681,Interstate 79,Northbound
stack1D,0.37037037037037035,Interstate 41,Southbound
stack1D,0.5483870967741935,Interstate 41,Northbound
stack2D,0.22916666666666666,Interstate 55,Southbound
stack2D,0.28368794326241137,Interstate 55,Northbound
stack2D,0.1926829268292683,Interstate 90,Eastbound
stack2D,0.22332506203473945,Interstate 90,Westbound
stack2D,0.17647058823529413,Interstate 85,Eastbound
stack2D,0.32786885245901637,Interstate 85,Westbound
stack2D,0.11475409836065574,Interstate 57,Southbound
stack2D,0.11475409836065574,Interstate 57,Northbound
stack2D,0.16923076923076924,Interstate 26,Southbound
stack2D,0.328125,Interstate 26,Northbound
stack2D,0.2222222222222222,Interstate 82,Southbound
stack2D,0.25925925925925924,Interstate 82,Northbound
stack2D,0.13924050632911392,Interstate 76 (Ohio-New Jersey),Eastbound
stack2D,0.2839506172839506,Interstate 76 (Ohio-New Jersey),Westbound
stack2D,0.24528301886792453,Interstate 39,Southbound
stack2D,0.2653061224489796,Interstate 39,Northbound
stack2D,0.07142857142857142,Interstate 86 (Pennsylvania-New York),Eastbound
stack2D,0.21428571428571427,Interstate 86 (Pennsylvania-New York),Westbound
stack2D,0.3945578231292517,Interstate 84 (Oregon-Utah),Eastbound
stack2D,0.3581081081081081,Interstate 84 (Oregon-Utah),Westbound
stack2D,0.6,Interstate 76 (Colorado-Nebraska),Westbound
stack2D,0.28,Interstate 476 (Pennsylvania),Southbound
stack2D,0.24,Interstate 476 (Pennsylvania),Northbound
stack2D,0.1111111111111111,Interstate 43,Southbound
stack2D,0.22580645161290322,Interstate 43,Northbound
stack2D,0.22413793103448276,Interstate 10,Eastbound
stack2D,0.2100238663484487,Interstate 10,Westbound
stack2D,0.25625,Interstate 81,Southbound
stack2D,0.31645569620253167,Interstate 81,Northbound
stack2D,0.4423076923076923,Interstate 8,Eastbound
stack2D,0.27450980392156865,Interstate 8,Westbound
stack2D,0.25,Interstate 95 (Southern Segment),Southbound
stack2D,0.19523809523809524,Interstate 95 (Southern Segment),Northbound
stack2D,0.1826086956521739,Interstate 95 (Northern Segment),Southbound
stack2D,0.2627118644067797,Interstate 95 (Northern Segment),Northbound
stack2D,0.10810810810810811,Interstate 89,Southbound
stack2D,0.21621621621621623,Interstate 89,Northbound
stack2D,0.09090909090909091,Interstate 68,Eastbound
stack2D,0.5454545454545454,Interstate 68,Westbound
stack2D,0.4864864864864865,Interstate 45,Southbound
stack2D,0.3333333333333333,Interstate 45,Northbound
stack2D,0.22807017543859648,Interstate 30,Eastbound
stack2D,0.27450980392156865,Interstate 30,Westbound
stack2D,0.3375796178343949,Interstate 65,Southbound
